Ano;Esforço PF
2011;345,00
2011;97,80
2011;6,00
2011;37,00
2011;1,78
2011;340,65
2011;5,50
2011;72,00
2011;179,00
2011;72,00
2017;11,91
2011;599,05
2014;33,75
2011;744,00
2011;60,00
2014;52,00
2011;7,00
2011;29,00
2011;490,50
2014;3,00
2011;60,00
2011;70,00
2011;20,00
2017;14,00
2011;64,00
2011;364,57
2011;106,94
2011;335,00
2011;96,00
2011;29,40
2011;4,20
2011;4,20
2011;69,00
2011;48,00
2011;4,20
2015;50,00
2014;15,50
2011;25,84
2011;47,00
2011;40,00
2011;107,00
2011;2,00
2011;116,75
2011;411,75
2011;72,63
2011;138,00
2011;350,00
2011;175,00
2011;27,00
2011;17,00
2011;54,00
2011;14,00
2011;110,00
2011;18,00
2011;50,00
2011;2,22
2011;2,22
2011;319,15
2011;7,00
2011;55,52
2011;209,00
2011;5,00
2011;1,00
2011;35,96
2011;934,04
2011;1.361,45
2011;306,00
2011;3.503,88
2011;318,24
2011;769,57
2011;1,00
2011;4,50
2011;13,50
2011;138,00
2011;3,00
2011;4,50
2011;328,00
2011;11,90
2011;12,00
2011;7,00
2011;26,01
2011;38,00
2011;96,00
2011;80,45
2011;69,00
2011;3,00
2011;34,00
2011;10,00
2011;222,00
2011;155,00
2017;15,79
2011;13,00
2011;37,00
2011;8,50
2011;3,00
2011;52,00
2011;34,00
2011;1,00
2011;7,00
2011;6,00
2011;30,00
2011;179,00
2011;0,05
2011;363,23
2011;6,00
2011;56,00
2011;4,20
2011;43,00
2011;1,00
2011;9,60
2011;488,13
2011;24,00
2011;12,00
2011;18,00
2011;4,50
2011;2,40
2011;12,24
2015;14,00
2011;84,00
2011;6,00
2011;65,50
2011;4,00
2011;19,00
2011;63,00
2011;32,58
2011;4,00
2011;61,00
2011;104,00
2011;22,00
2011;300,00
2013;20,55
2014;22,80
2012;62,00
2011;10,00
2011;3,00
2011;5,00
2011;140,00
2011;5,00
2011;3,00
2011;375,60
2011;6,00
2011;8,00
2011;4,50
2011;33,34
2011;1,00
2011;7,00
2011;3,00
2011;31,10
2011;28,00
2011;110,00
2011;294,75
2011;48,00
2019;34,36
2011;453,70
2011;2,00
2011;10,00
2011;8,00
2011;48,00
2011;12,00
2011;355,00
2011;44,00
2011;44,80
2011;28,00
2011;0,70
2011;131,00
2011;82,00
2011;30,00
2011;533,25
2011;71,00
2011;0,27
2011;6,00
2011;7,00
2013;152,00
2013;4,00
2011;6,12
2011;6,00
2011;10,08
2011;50,00
2011;141,75
2014;24,85
2011;105,00
2011;56,00
2011;18,00
2011;151,00
2011;22,23
2013;64,00
2012;38,00
2011;30,70
2012;6,00
2011;2,00
2011;35,00
2011;20,00
2011;1,00
2011;17,00
2011;98,30
2011;1,00
2011;6,00
2011;83,00
2011;13,25
2011;22,00
2011;139,00
2011;179,29
2011;38,00
2011;6,50
2011;285,60
2012;12,00
2011;9,00
2011;2,25
2011;330,00
2011;1,00
2011;208,00
2011;11,00
2011;102,00
2011;172,00
2011;41,00
2011;56,06
2011;5,00
2011;5,00
2011;86,22
2017;98,94
2011;9,00
2011;22,00
2011;0,60
2011;8,80
2011;6,00
2011;2,40
2011;8,50
2011;64,79
2011;144,01
2011;331,71
2011;8,00
2011;117,00
2013;14,00
2011;6,00
2011;30,00
2011;79,50
2011;37,00
2011;968,49
2011;5,25
2011;10,00
2011;298,50
2011;20,00
2011;10,00
2011;4,50
2011;17,00
2011;7,00
2011;69,33
2011;138,97
2015;10,00
2011;192,00
2011;6,12
2011;323,00
2014;97,53
2011;287,17
2011;312,43
2011;12,00
2011;1,00
2011;73,50
2011;23,00
2011;32,00
2011;6,00
2011;5,00
2011;1,20
2011;4,00
2011;27,80
2011;243,00
2011;3,50
2011;0,60
2011;5,00
2011;20,00
2011;0,60
2011;24,00
2011;32,00
2011;43,20
2011;148,00
2011;68,00
2011;77,40
2011;6,00
2011;15,00
2011;8,00
2011;9,00
2011;167,00
2011;6,00
2011;1,00
2011;6,00
2011;47,00
2011;89,00
2011;211,25
2011;96,00
2011;96,00
2011;11,00
2011;44,00
2011;38,00
2011;3,00
2014;5,50
2011;2,00
2011;12,20
2011;10,50
2011;43,00
2011;59,00
2011;23,00
2011;1.207,49
2013;80,00
2011;51,00
2011;90,00
2011;80,00
2011;56,00
2011;6,00
2011;14,00
2011;3,00
2011;11,00
2017;103,95
2011;106,00
2012;9,00
2011;30,00
2011;16,00
2011;4,50
2011;73,00
2011;16,00
2011;6,00
2011;133,00
2011;932,00
2011;195,20
2011;18,00
2011;22,00
2011;8,00
2011;1,00
2011;220,00
2011;33,10
2011;6,12
2011;33,00
2011;12,00
2011;931,71
2011;45,00
2011;1,00
2011;50,20
2011;6,00
2011;16,00
2011;4,00
2011;96,00
2011;5,00
2011;75,60
2011;32,00
2011;11,00
2011;34,70
2011;22,00
2011;1,00
2011;1,00
2011;1,00
2011;34,00
2011;23,00
2011;83,00
2011;42,75
2011;36,53
2011;84,24
2011;5,25
2011;2.638,74
2011;6,00
2011;66,10
2011;31,00
2011;3,00
2011;101,92
2011;9,00
2011;6,00
2011;315,00
2011;304,00
2011;6,00
2011;224,10
2011;40,00
2011;1,00
2011;70,00
2011;3,00
2011;35,00
2011;20,00
2011;15,00
2017;11,00
2011;1,00
2011;1,00
2015;12,00
2011;1,00
2011;40,00
2011;1,00
2011;10,00
2011;4,50
2011;4,20
2011;14,00
2011;71,10
2015;159,01
2011;6,00
2011;21,00
2015;250,56
2011;206,00
2011;270,25
2011;102,00
2011;93,00
2011;115,00
2011;304,00
2011;8,60
2011;16,75
2011;27,00
2011;5,25
2011;162,88
2011;1,00
2011;75,30
2011;9,00
2011;112,00
2011;8,80
2011;4,90
2011;1,00
2011;47,00
2011;73,00
2011;1.205,25
2011;247,00
2011;915,63
