Esforço PF;Ano;Data Assinatura Anexo 4/5 Prest. Serv.;Data de Aprovação do Titular;Mês;ANO_ASSIN;TEMPO_ENTREGA
24,0;2010;2018-06-15;2010-05-31;01/05/10;2018,0;2937,0
25,35;2014;2014-12-04;2014-07-22;01/07/14;2014,0;135,0
10,0;2009;2012-06-25;2009-09-10;01/09/09;2012,0;1019,0
142,0;2010;2013-11-13;2010-07-19;01/07/10;2013,0;1213,0
164,0;2010;2013-11-13;2010-07-19;01/07/10;2013,0;1213,0
13,0;2010;2012-03-13;2010-07-15;01/07/10;2012,0;607,0
43,25;2010;2017-04-17;2010-04-29;01/04/10;2017,0;2545,0
99,15;2008;2013-06-20;2008-08-11;01/08/08;2013,0;1774,0
329,0;2010;2012-12-11;2010-06-04;01/06/10;2012,0;921,0
38,0;2010;2012-12-07;2010-04-20;01/04/10;2012,0;962,0
36,57;2010;2013-12-02;2010-05-26;01/05/10;2013,0;1286,0
15,0;2010;2016-03-17;2010-05-25;01/05/10;2016,0;2123,0
6,0;2009;2012-03-21;2009-10-15;01/10/09;2012,0;888,0
51,0;2010;2013-05-08;2010-05-20;01/05/10;2013,0;1084,0
200,0;2010;2012-05-02;2010-07-16;01/07/10;2012,0;656,0
410,0;2010;2012-07-13;2010-05-18;01/05/10;2012,0;787,0
18,0;2010;2012-04-27;2010-06-28;01/06/10;2012,0;669,0
215,4;2010;2013-10-01;2010-06-23;01/06/10;2013,0;1196,0
62,0;2014;2015-08-20;2014-12-15;01/12/14;2015,0;248,0
281,0;2009;2012-07-31;2009-09-29;01/09/09;2012,0;1036,0
13,0;2010;2018-08-23;2010-03-12;01/03/10;2018,0;3086,0
33,25;2016;2017-05-09;2016-05-11;01/05/16;2017,0;363,0
7,0;2010;2012-05-15;2010-06-07;01/06/10;2012,0;708,0
211,0;2010;2015-12-10;2010-06-01;01/06/10;2015,0;2018,0
360,5;2010;2012-05-03;2010-07-22;01/07/10;2012,0;651,0
6,0;2014;2015-03-04;2014-07-24;01/07/14;2015,0;223,0
323,0;2010;2012-07-19;2010-06-26;01/06/10;2012,0;754,0
54,85;2014;2015-12-08;2014-06-18;01/06/14;2015,0;538,0
19,0;2008;2012-03-19;2008-06-26;01/06/08;2012,0;1362,0
13,8;2014;2015-02-04;2014-07-23;01/07/14;2015,0;196,0
882,61;2010;2015-02-11;2010-04-28;01/04/10;2015,0;1750,0
6,0;2009;2012-08-01;2009-06-25;01/06/09;2012,0;1133,0
11,17;2012;2013-10-02;2012-03-20;01/03/12;2013,0;561,0
